group,maker_n_trades,taker_n_trades,maker_contracts,taker_contracts,maker_avg_price,taker_avg_price,maker_excess_pp,taker_excess_pp,maker_sd_pp,taker_sd_pp,maker_se_pp,taker_se_pp,maker_ci_low_pp,taker_ci_low_pp,maker_ci_high_pp,taker_ci_high_pp
Media,400382,400382,29481470,29481470,0.5154574131704226,0.48454258682957735,5.149864379517558,-5.149864379517558,39.23456397860234,39.23456397860233,0.06200569193556065,0.062005691935560645,5.02833322332386,-5.271395535711257,5.271395535711257,-5.02833322332386
Entertainment,1386553,1386553,166012040,166012040,0.5223414395266539,0.4776585604733456,2.2804689038211996,-2.2804689038212023,38.174948946759464,38.17494894675946,0.032419792250163504,0.032419792250163504,2.216926111010879,-2.3440116966315228,2.34401169663152,-2.2169261110108818
Science/Tech,153585,153585,16809540,16809540,0.5180700589250257,0.4819299410749753,2.1865481655109495,-2.1865481655109495,38.85023997621919,38.85023997621918,0.09913324094847696,0.09913324094847692,1.9922470132519348,-2.380849317769964,2.3808493177699646,-1.992247013251935
World Events,198108,198108,36512178,36512178,0.5529718133543314,0.4470281866456664,2.0180204736810334,-2.018020473681031,41.57042712452464,41.57042712452464,0.09339711903058828,0.09339711903058828,1.8349621203810804,-2.2010788269809844,2.2010788269809867,-1.8349621203810784
Other,979708,979708,89455991,89455991,0.5064161974792489,0.49358380252075124,1.908731989531574,-1.9087319895315737,38.490245264562994,38.490245264562994,0.038886812967569864,0.038886812967569864,1.832513836115137,-1.9849501429480105,1.984950142948011,-1.8325138361151367
Weather,3773131,3773131,252417351,252417351,0.4800836175579422,0.5199163824420593,1.5516720728753268,-1.5516720728753228,39.664590006298326,39.66459000629828,0.02041982555622806,0.02041982555622804,1.5116492147851197,-1.5916949309655297,1.5916949309655335,-1.5116492147851157
Politics,4825893,4825893,2195189907,2195189907,0.5436827691786665,0.4563172308213258,1.3610979356566104,-1.3610979356565958,34.43578430167161,34.4357843016716,0.01567549033450291,0.015675490334502905,1.3303739746009846,-1.3918218967122216,1.391821896712236,-1.33037397460097
Crypto,6624687,6624687,764713533,764713533,0.47772728130400444,0.5222727186959926,1.2910389577649877,-1.2910389577649564,40.511616889868264,40.51161688986829,0.01573971611660812,0.01573971611660813,1.2601891141764359,-1.3218888013535082,1.3218888013535397,-1.2601891141764043
Finance,1540871,1540871,320013499,320013499,0.49240499691407724,0.5075950030859214,1.1245860295897618,-1.1245860295897625,39.82415742426386,39.824157424263824,0.03208214927607424,0.0320821492760742,1.0617050170086564,-1.187467042170868,1.1874670421708673,-1.0617050170086568
Sports,43358180,43358180,12710485109,12710485109,0.52328854993448,0.4767114500655247,1.1174381858280347,-1.1174381858278393,42.14583487928631,42.14583487928634,0.006400577187848894,0.006400577187848897,1.1048930545398508,-1.129983317116023,1.1299833171162186,-1.1048930545396554
Esports,98272,98272,17876181,17876181,0.5014977816672094,0.498502218332794,0.16567282644084638,-0.16567282644087947,43.51839898364147,43.51839898364148,0.13882190896327531,0.13882190896327537,-0.10641811512717328,-0.4377637680088992,0.437763768008866,0.10641811512714028
