group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net
World Events,taker,no,"[0.20,0.40)",13591,1152188,0.31875726583768843,0.5803840776984769,0.019999999999999966,26.162681186079094,25.333813339807094,26.9915490323511,24.16268118607904,0.42289175830204095,23.33381333980704,24.991549032351042,57.13679851103031
World Events,maker,no,"[0.20,0.40)",16377,1201483,0.3085351407461685,0.5584050802955364,0.009999999999999887,24.986993954936846,24.225606870271136,25.74838103960256,23.98699395493681,0.38846279829883185,23.2256068702711,24.74838103960252,61.74849705037751
World Events,maker,no,"[0.05,0.20)",8384,1180056,0.1079902194656488,0.3220419847328244,0.00999999999999991,21.405176526717558,20.413940595368583,22.396412458066532,20.405176526717536,0.5057326180351902,19.413940595368565,21.396412458066507,40.34775650024949
Media,maker,no,"[0.40,0.60)",52370,2079176,0.49182489975176624,0.6904525491693718,0.009999999999999936,19.86276494176055,19.46845081083416,20.25707907268694,18.862764941760553,0.2011806790440768,18.468450810834163,19.257079072686945,93.76032048101348
Media,maker,no,"[0.20,0.40)",43685,1871123,0.30331921712258203,0.49238869177063066,0.009999999999999946,18.906947464804844,18.445010981746446,19.368883947863242,17.90694746480485,0.2356818791114268,17.445010981746453,18.36888394786325,75.97931386289872
Media,taker,no,"[0.40,0.60)",28896,1314066,0.4930270625692138,0.6408153377630121,0.019999999999999952,14.77882751937985,14.22976579824672,15.32788924051298,12.778827519379835,0.2801335311903722,12.229765798246707,13.327889240512963,45.61691513714452
Media,maker,no,"[0.60,0.80)",50349,2235015,0.6886579673876343,0.8231543824107728,0.009999999999999934,13.449641502313847,13.117504649843578,13.781778354784116,12.44964150231385,0.16945757779095347,12.117504649843582,12.781778354784118,73.46759976512821
World Events,maker,no,"[0.40,0.60)",18122,1128353,0.4834929919434931,0.6136188058713167,0.009999999999999957,13.012581392782415,12.2955314762977,13.729631309267129,12.01258139278237,0.36584179412485424,11.295531476297654,12.729631309267084,32.83545397408237
World Events,taker,no,"[0.40,0.60)",18266,1151130,0.48512208474761953,0.622358480236505,0.02000000000000003,13.723639548888478,13.017524261500801,14.429754836276153,11.723639548888428,0.3602629017284058,11.017524261500753,12.429754836276103,32.54190063046408
Science/Tech,taker,no,"[0.60,0.80)",10155,902154,0.6965829640571146,0.8299359921221073,0.019999999999999855,13.33530280649926,12.603749824653368,14.066855788345153,11.335302806499275,0.3732413172683131,10.60374982465338,12.066855788345169,30.369903550497416
