group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net,largest_prefix,largest_share,n_with,net_mean_pp_with,net_ci_low_pp_with,net_ci_high_pp_with,n_without,net_mean_pp_without,net_ci_low_pp_without,net_ci_high_pp_without,pass_loco,top3_prefixes,top3_share_of_abs_pnl,twin_side,twin_n_trades,twin_net_mean_pp,domain_top5
World Events,taker,no,"[0.20,0.40)",13591,1152188,0.3187572658376884,0.5803840776984769,0.0199999999999999,26.16268118607909,25.333813339807094,26.9915490323511,24.16268118607904,0.4228917583020409,23.33381333980704,24.99154903235104,57.13679851103031,KXEPSTEIN,0.4686189390037525,13591,24.162681186079297,23.333761692758944,24.991600679399646,7222,-12.586264192744384,-13.527858933746487,-11.644669451742283,False,"['KXEPSTEIN', 'KXEPSTEINLIST', 'KXNOBELPEACE']",0.7815452248597496,yes,24716,-13.427294060527515,"[('KXEPSTEIN', 0.4686), ('KXOTEEPSTEIN', 0.1232), ('KXLAGODAYS', 0.0874), ('KXNEXTPOPE', 0.0768), ('KXEPSTEINLIST', 0.071)]"
World Events,maker,no,"[0.20,0.40)",16377,1201483,0.3085351407461685,0.5584050802955364,0.0099999999999998,24.98699395493685,24.225606870271136,25.74838103960256,23.98699395493681,0.3884627982988318,23.2256068702711,24.74838103960252,61.74849705037751,KXEPSTEIN,0.3697868962569457,16377,23.986993954937034,23.225606870271324,24.748381039602748,10321,-1.479023350450523,-2.374067715905217,-0.5839789849958286,False,"['KXEPSTEIN', 'KXNEXTPOPE', 'KXNOBELPEACE']",0.7497841553423901,yes,15844,-3.522216611966695,"[('KXEPSTEIN', 0.3698), ('KXOTEEPSTEIN', 0.1798), ('KXNEXTPOPE', 0.1098), ('KXLAGODAYS', 0.1042), ('KXEPSTEINLIST', 0.0787)]"
World Events,maker,no,"[0.05,0.20)",8384,1180056,0.1079902194656488,0.3220419847328244,0.0099999999999999,21.40517652671756,20.413940595368583,22.39641245806653,20.405176526717536,0.5057326180351902,19.413940595368565,21.396412458066507,40.34775650024949,KXEPSTEIN,0.2720658396946565,8384,20.40517652671758,19.413940595368604,21.396412458066553,6103,-4.715385875798793,-5.339940428398822,-4.090831323198764,False,"['KXEPSTEIN', 'KXEPSTEINLIST', 'KXEPSTEINBILL']",0.9272512917963631,yes,16885,-2.0497482973053134,"[('KXEPSTEIN', 0.2721), ('KXLAGODAYS', 0.2162), ('KXEPSTEINBILL', 0.1976), ('KXOTEEPSTEIN', 0.1002), ('KXEPSTEINLIST', 0.0945)]"
Media,maker,no,"[0.40,0.60)",52370,2079176,0.4918248997517662,0.6904525491693718,0.0099999999999999,19.86276494176055,19.46845081083416,20.25707907268694,18.862764941760556,0.2011806790440768,18.468450810834163,19.257079072686945,93.76032048101348,KXVANCEMENTION,0.06834065304563681,52370,18.862764941760553,18.468440042999667,19.25708984052144,48791,19.14933081920847,18.742230726632435,19.5564309117845,True,"['KXUFSD', 'KXEARNINGSMENTIONTGT', 'KXEARNINGSMENTIONNVDA']",0.2528447246059771,yes,28906,-15.74603888466062,"[('KXVANCEMENTION', 0.0683), ('KXEARNINGSMENTIONNVDA', 0.0615), ('KXTSAW', 0.0492), ('KXSNLMENTION', 0.0475), ('KXAPRPOTUS', 0.0448)]"
Media,maker,no,"[0.20,0.40)",43685,1871123,0.303319217122582,0.4923886917706306,0.0099999999999999,18.906947464804844,18.44501098174645,19.36888394786324,17.90694746480485,0.2356818791114268,17.445010981746453,18.36888394786325,75.97931386289872,KXTSAW,0.07808172141467323,43685,17.906947464804844,17.4450031134623,18.368891816147393,40274,19.47921736107662,18.997844773938255,19.960589948214984,True,"['KXEARNINGSMENTIONTGT', 'KXEARNINGSMENTIONHD', 'KXTSAW']",0.20139326800845658,yes,30088,-11.8010502525924,"[('KXTSAW', 0.0781), ('KXVANCEMENTION', 0.0659), ('KXEARNINGSMENTIONNVDA', 0.0486), ('KXSNLMENTION', 0.0454), ('KXAPRPOTUS', 0.0358)]"
Media,taker,no,"[0.40,0.60)",28896,1314066,0.4930270625692138,0.6408153377630121,0.0199999999999999,14.77882751937985,14.22976579824672,15.32788924051298,12.778827519379837,0.2801335311903722,12.229765798246708,13.327889240512963,45.61691513714452,KXTSAW,0.08309108527131782,28896,12.778827519379842,12.229753226199149,13.327901812560535,26495,14.98358180788828,14.418263975738292,15.548899640038268,True,"['KXTSAW', 'KXUFSD', 'KXEARNINGSMENTIONTGT']",0.2541846457900825,yes,52340,-21.53865112724494,"[('KXTSAW', 0.0831), ('KXEARNINGSMENTIONNVDA', 0.0672), ('KXVANCEMENTION', 0.0642), ('KXSNLMENTION', 0.0399), ('KXEARNINGSMENTIONGOOGL', 0.0377)]"
Media,maker,no,"[0.60,0.80)",50349,2235015,0.6886579673876343,0.8231543824107728,0.0099999999999999,13.449641502313847,13.117504649843578,13.781778354784116,12.44964150231385,0.1694575777909534,12.117504649843582,12.781778354784118,73.46759976512821,KXAPRPOTUS,0.0880851655444994,50349,12.449641502313845,12.117504345493012,12.78177865913468,45914,13.662412336106627,13.324127847886174,14.00069682432708,True,"['KXUFSD', 'KXVANCE', 'KXTSAW']",0.25843526654801474,yes,26101,-9.787479406919276,"[('KXAPRPOTUS', 0.0881), ('KXTSAW', 0.0827), ('KXVANCEMENTION', 0.049), ('KXSNLMENTION', 0.0432), ('KXEARNINGSMENTIONNVDA', 0.0387)]"
World Events,maker,no,"[0.40,0.60)",18122,1128353,0.4834929919434931,0.6136188058713167,0.0099999999999999,13.012581392782415,12.2955314762977,13.729631309267129,12.01258139278237,0.3658417941248542,11.295531476297654,12.729631309267084,32.83545397408237,KXEPSTEIN,0.5138505683699371,18122,12.012581392782277,11.295510332611688,12.729652452952866,8810,-29.63110102156637,-30.461703353278956,-28.800498689853782,False,"['KXEPSTEIN', 'KXEPSTEINLIST', 'KXNOBELPEACE']",0.8176288241038642,yes,18057,-15.254638090491712,"[('KXEPSTEIN', 0.5139), ('KXOTEEPSTEIN', 0.1054), ('KXEPSTEINLIST', 0.0961), ('KXLAGODAYS', 0.0888), ('KXEPSTEINBILL', 0.0683)]"
World Events,taker,no,"[0.40,0.60)",18266,1151130,0.4851220847476195,0.622358480236505,0.02,13.723639548888478,13.0175242615008,14.429754836276151,11.723639548888428,0.3602629017284058,11.017524261500752,12.429754836276103,32.54190063046408,KXEPSTEIN,0.5684879010182854,18266,11.72363954888854,11.017524261500865,12.429754836276217,7882,-38.12243085511295,-38.84994212500601,-37.394919585219895,False,"['KXEPSTEIN', 'KXEPSTEINLIST', 'KXEPSTEINBILL']",0.8326368117982216,yes,17567,-13.119371548926797,"[('KXEPSTEIN', 0.5685), ('KXEPSTEINBILL', 0.1221), ('KXOTEEPSTEIN', 0.1033), ('KXEPSTEINLIST', 0.0824), ('KXLAGODAYS', 0.0601)]"
Science/Tech,taker,no,"[0.60,0.80)",10155,902154,0.6965829640571146,0.8299359921221073,0.0199999999999998,13.33530280649926,12.603749824653368,14.066855788345151,11.335302806499277,0.3732413172683131,10.60374982465338,12.066855788345167,30.369903550497416,KXLLM1,0.29374692269817826,10155,11.33530280649926,10.603536054037377,12.067069558961144,7172,7.309676519799216,6.371267137310757,8.248085902287675,True,"['KXLLM1', 'LLM1', 'KXTOPAI']",0.5429745526334172,yes,17428,-9.28138627495983,"[('KXLLM1', 0.2937), ('KXSPACEXSTARSHIP', 0.1326), ('LLM1', 0.1286), ('KXAPPLEMENTION', 0.0876), ('KXDAILYGUESTMUSK', 0.0484)]"
