group,role,price_band,n_trades,n_prefixes,avg_price,win_rate,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,pass_gate,largest_prefix,largest_share,n_without,net_mean_pp_without,net_ci_low_pp_without,net_ci_high_pp_without,pass_loco,top3_prefixes,top3_share_of_abs_pnl,domain_top5
World Events,maker,"[0.20,0.40)",32221,21,0.2981751031935696,0.4127742776450141,10.459917445144582,0.2714340987780198,9.927906611539662,10.991928278749501,True,KXEPSTEIN,0.3519443840973278,20881,4.65676931181455,4.017495028401228,5.2960435952278715,True,"['KXEPSTEINLIST', 'KXEPSTEIN', 'KXNOBELPEACE']",0.8021875319813451,"[('KXEPSTEIN', 0.3519), ('KXNEXTPOPE', 0.1399), ('KXOTEEPSTEIN', 0.116), ('KXEPSTEINLIST', 0.1137), ('KXLAGODAYS', 0.1044)]"
Media,maker,"[0.40,0.60)",81276,138,0.49310202273733944,0.5686426497366996,6.554062699936024,0.1731410993863477,6.214706145138782,6.893419254733265,True,KXVANCEMENTION,0.06642797381760913,75877,6.681827167652917,6.330890185033651,7.032764150272182,True,"['KXUFSD', 'KXTSAW', 'KXDAVISCUPADVANCE']",0.2997736367630355,"[('KXVANCEMENTION', 0.0664), ('KXEARNINGSMENTIONNVDA', 0.0635), ('KXTSAW', 0.0615), ('KXSNLMENTION', 0.0448), ('KXAPRPOTUS', 0.0381)]"
Media,maker,"[0.20,0.40)",73773,138,0.29962615048866115,0.36753283721686797,5.790668672820673,0.17526703793525547,5.4471452784675725,6.134192067173774,True,KXTSAW,0.08751169126916351,67317,6.522557452055196,6.161279696007455,6.883835208102937,True,"['KXUFSD', 'KXTSAW', 'KXEARNINGSMENTIONTGT']",0.21021041142265642,"[('KXTSAW', 0.0875), ('KXVANCEMENTION', 0.056), ('KXEARNINGSMENTIONNVDA', 0.0506), ('KXAPRPOTUS', 0.044), ('KXSNLMENTION', 0.0427)]"
World Events,maker,"[0.05,0.20)",25269,23,0.10873560489136888,0.1727413035735486,5.400569868217993,0.2358289949726765,4.938345038071546,5.862794698364438,True,KXEPSTEIN,0.22161541810123075,19669,-1.11983324012404,-1.5438847502488853,-0.6957817299991947,False,"['KXEPSTEIN', 'KXNOBELPEACE', 'KXNEXTPOPE']",0.8689455708174104,"[('KXEPSTEIN', 0.2216), ('KXNOBELPEACE', 0.2162), ('KXLAGODAYS', 0.1387), ('KXNEXTPOPE', 0.1346), ('KXEPSTEINLIST', 0.0696)]"
Media,maker,"[0.60,0.80)",76450,138,0.6881996075866579,0.7467756703727927,4.857606278613472,0.15604971395572195,4.551748839260257,5.163463717966687,True,KXTSAW,0.09249182472204055,69379,4.659407025180528,4.3367463398046056,4.98206771055645,True,"['KXUFSD', 'KXTSAW', 'KXVANCE']",0.3153681819861451,"[('KXTSAW', 0.0925), ('KXAPRPOTUS', 0.0654), ('KXVANCEMENTION', 0.0532), ('KXEARNINGSMENTIONNVDA', 0.0489), ('KXSNLMENTION', 0.0444)]"
Media,maker,"[0.80,0.95)",51451,136,0.8675044216827662,0.9187770888806825,4.1272667197916455,0.11926274225945925,3.893511744963105,4.361021694620185,True,KXTSAW,0.125867330081048,44975,4.091851028349082,3.8402692951740285,4.343432761524135,True,"['KXRANKLISTSONGTHRILLER', 'KXUFSD', 'KXTSAW']",0.3439646776585296,"[('KXTSAW', 0.1259), ('KXAPRPOTUS', 0.0917), ('KXEARNINGSMENTIONNVDA', 0.0435), ('KX538APPROVE', 0.0398), ('KXRANKLISTSONGTHRILLER', 0.0366)]"
Science/Tech,maker,"[0.60,0.80)",29787,53,0.6964551650048678,0.7383086581394568,3.1853493134588557,0.25537710202995195,2.68481019348015,3.6858884334375617,True,KXLLM1,0.24715479907342128,22425,-0.4276923076923617,-1.0297708975038047,0.1743862821190812,False,"['KXCEOASTRONOMER', 'KXLLM1', 'LLM1']",0.5756575715791085,"[('KXLLM1', 0.2472), ('KXSPACEXSTARSHIP', 0.1915), ('KXCEOASTRONOMER', 0.1065), ('KXAPPLEMENTION', 0.0683), ('KXTWITCHSUBSKAICENAT', 0.0656)]"
Science/Tech,maker,"[0.40,0.60)",29943,48,0.4940470226764186,0.5305413619209832,2.6494339244564777,0.28355259152537376,2.0936708450667454,3.20519700384621,True,KXLLM1,0.2804996159369469,21544,2.7918213887857446,2.1345579752081685,3.4490848023633203,True,"['KXLLM1', 'KXAPPLEMENTION', 'KXCEOASTRONOMER']",0.553277428141069,"[('KXLLM1', 0.2805), ('KXCEOASTRONOMER', 0.2), ('KXSPACEXSTARSHIP', 0.1676), ('KXAPPLEMENTION', 0.0575), ('KXOAISOCIAL', 0.052)]"
Entertainment,maker,"[0.20,0.40)",235471,360,0.29645493500261183,0.33165442878316226,2.5199493780550477,0.09617139518621867,2.331453443490059,2.7084453126200363,True,KXSPOTIFYD,0.08262588599020686,216015,3.2302849339166264,3.032324189872057,3.428245677961196,True,"['KXEMMYDSERIES', 'KXOSCARACTR', 'KXOSCARPIC']",0.34203627739175013,"[('KXSPOTIFYD', 0.0826), ('KXAPPRANKFREE', 0.0399), ('KXSNFMENTION', 0.0382), ('KXTNFMENTION', 0.0351), ('KXEMMYDSERIES', 0.0273)]"
Other,maker,"[0.60,0.80)",188578,1087,0.6965956262130258,0.7306048425585169,2.4009216345490967,0.10171084055257988,2.20156838706604,2.6002748820321533,True,KXELONTWEETS,0.026530136071015707,183575,2.4489009941440796,2.2468336760460392,2.65096831224212,True,"['KXDEMVASWEEP', 'KXSTATEDEEPKH', 'KXTIPTAX']",0.07274975460154005,"[('KXELONTWEETS', 0.0265), ('KXWHVISIT', 0.025), ('KXKNOXGOLD', 0.02), ('KXTIPTAX', 0.0171), ('KXDJTHANNITY', 0.0135)]"
