group,n_markets,n_yes,n_no,yes_frac
Esports,7943,699.0,7244.0,0.08800201435225985
Sports,301450,46941.0,254509.0,0.1557173660640239
Weather,16837,3108.0,13729.0,0.18459345489101384
Other,6834,1929.0,4905.0,0.28226514486391574
Entertainment,9805,3068.0,6737.0,0.31290158082610914
World Events,231,76.0,155.0,0.329004329004329
Science/Tech,363,132.0,231.0,0.36363636363636365
Crypto,113413,42266.0,71147.0,0.3726733266909437
Politics,6788,2686.0,4102.0,0.3956982911019446
Media,4196,1667.0,2529.0,0.39728312678741656
Finance,35651,16973.0,18678.0,0.4760876272755322
